title,genre,store,ownership,status,rating,hours_played,completion_percentage,priority,date_added,notes,steam_appid
Fancy Skulls,Unknown,Steam,Owned,In Progress,0,4.5,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 307090,307090
Stick RPG 2,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 307640,307640
RC Mini Racers,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 311820,311820
Data Hacker: Initiation,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 311860,311860
DIG IT! - A Digger Simulator,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 311910,311910
Saviors,Unknown,Steam,Owned,In Progress,0,3.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 314450,314450
Polarity,Unknown,Steam,Owned,In Progress,0,4.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 315430,315430
Prophour23,Unknown,Steam,Owned,In Progress,0,3.9,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 317610,317610
Velocibox,Unknown,Steam,Owned,In Progress,0,4.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 317710,317710
StuntMANIA Reloaded,Unknown,Steam,Owned,In Progress,0,4.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 324750,324750
Deep Dungeons of Doom,Unknown,Steam,Owned,In Progress,0,3.7,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 325090,325090
Logistics Company,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 328310,328310
Frozen Synapse Prime,Unknown,Steam,Owned,In Progress,0,4.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 328600,328600
Data Hacker: Corruption,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 329000,329000
QbQbQb,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 329320,329320
NAM,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 329650,329650
bit Dungeon II,Unknown,Steam,Owned,In Progress,0,4.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 331440,331440
Data Hacker: Reboot,Unknown,Steam,Owned,In Progress,0,3.4,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 331790,331790
rFactor,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 339790,339790
Elements: Soul of Fire,Unknown,Steam,Owned,In Progress,0,2.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 340650,340650
Sun Blast,Unknown,Steam,Owned,In Progress,0,3.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 344910,344910
Airport Firefighters - The Simulation,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 350530,350530
Intergalactic Bubbles,Unknown,Steam,Owned,In Progress,0,3.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 351490,351490
The Silent Age,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 352520,352520
Middle-earth™: Shadow of War™,Unknown,Steam,Owned,In Progress,0,86.7,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 356190,356190
Arctic Adventure,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358170,358170
Bio Menace,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358180,358180
Blake Stone: Aliens of Gold,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358190,358190
Math Rescue,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358200,358200
Monster Bash,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358210,358210
Mystic Towers,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358220,358220
Paganitzu,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358230,358230
Monuments of Mars,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358240,358240
Cosmo's Cosmic Adventure,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358250,358250
Crystal Caves,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358260,358260
Death Rally (Classic),Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358270,358270
Alien Carnage / Halloween Harry,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358280,358280
Hocus Pocus,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358290,358290
Major Stryker,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358300,358300
Blake Stone: Planet Strike,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358310,358310
Realms of Chaos,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358320,358320
Pharaoh's Tomb,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358330,358330
Word Rescue,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358340,358340
Secret Agent,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358350,358350
Raptor: Call of the Shadows (1994 Classic Edition),Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358360,358360
Terminal Velocity: Legacy,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358370,358370
Wacky Wheels,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358380,358380
Stargunner,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358390,358390
Shadow Warrior (Classic),Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358400,358400
Rise of the Triad: Dark War,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358410,358410
Xenophage,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358420,358420
Dark Ages,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358440,358440
Coast Guard,Unknown,Steam,Owned,In Progress,0,5.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 361200,361200
Just Survive Test Server,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 362300,362300
Clicker Heroes,Unknown,Steam,Owned,In Progress,0,0.2,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 363970,363970
Total War: WARHAMMER,Unknown,Steam,Owned,In Progress,0,125.3,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 364360,364360
Sniper Ghost Warrior 3,Unknown,Steam,Owned,In Progress,0,10.7,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 368070,368070
Super 3-D Noah's Ark,Unknown,Steam,Owned,In Progress,0,5.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 371180,371180
TransPlan,Unknown,Steam,Owned,In Progress,0,4.1,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 374410,374410
Defend The Highlands,Unknown,Steam,Owned,In Progress,0,5.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 374830,374830
Fallout 4,Unknown,Steam,Owned,In Progress,0,46.5,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 377160,377160
Star Chronicles: Delta Quadrant,Unknown,Steam,Owned,In Progress,0,4.3,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 383330,383330
Flesh Eaters,Unknown,Steam,Owned,In Progress,0,3.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 383580,383580
Atonement: Scourge of Time,Unknown,Steam,Owned,In Progress,0,4.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 385070,385070
Guardians of Victoria,Unknown,Steam,Owned,In Progress,0,2.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 385080,385080
Jet Racing Extreme,Unknown,Steam,Owned,In Progress,0,2.2,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 385270,385270
Incitement 3,Unknown,Steam,Owned,In Progress,0,2.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 391660,391660
Secret Of Magia,Unknown,Steam,Owned,In Progress,0,3.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 396160,396160
Labyronia RPG 2,Unknown,Steam,Owned,In Progress,0,3.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 397500,397500
Tinboy,Unknown,Steam,Owned,In Progress,0,3.7,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 399430,399430
Crusaders of the Lost Idols,Unknown,Steam,Owned,In Progress,0,249.9,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 402840,402840
Last Days of Spring Visual Novel,Unknown,Steam,Owned,In Progress,0,3.9,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 407680,407680
City of Chains,Unknown,Steam,Owned,In Progress,0,4.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 412170,412170
The Dreamlord,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 412290,412290
DiRT 4,Unknown,Steam,Owned,In Progress,0,28.7,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 421020,421020
Militia,Unknown,Steam,Owned,In Progress,0,6.2,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 421260,421260
Invasion: Brain Craving,Unknown,Steam,Owned,In Progress,0,2.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 423710,423710
Wallpaper Engine,Unknown,Steam,Owned,In Progress,0,194.4,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 431960,431960
Z1 Battle Royale,Unknown,Steam,Owned,In Progress,0,23.1,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 433850,433850
The Chosen RPG,Unknown,Steam,Owned,In Progress,0,4.3,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 434420,434420
PulseCharge,Unknown,Steam,Owned,In Progress,0,2.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 438010,438010
AI: Rampage,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 438020,438020
Dead6hot,Unknown,Steam,Owned,In Progress,0,3.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 438030,438030
H1Z1: Test Server,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 439700,439700
Broken Dreams,Unknown,Steam,Owned,In Progress,0,3.5,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 444480,444480
Shattered Skies,Unknown,Steam,Owned,In Progress,0,0.1,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 447500,447500
Rabiez: Epidemic,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 448630,448630
Elements II: Hearts of Light,Unknown,Steam,Owned,In Progress,0,2.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 448640,448640
Hero Quest: Tower Conflict,Unknown,Steam,Owned,In Progress,0,2.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 453820,453820
Project Starship,Unknown,Steam,Owned,In Progress,0,2.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 454890,454890
Outrage,Unknown,Steam,Owned,In Progress,0,2.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 457820,457820
State of Anarchy,Unknown,Steam,Owned,In Progress,0,3.2,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 463210,463210
Dungeon of Zolthan,Unknown,Steam,Owned,In Progress,0,3.5,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 463220,463220
Insincere,Unknown,Steam,Owned,In Progress,0,2.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 467000,467000
Purgatory,Unknown,Steam,Owned,In Progress,0,3.1,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 473470,473470
Radical Spectrum: Volume 1,Unknown,Steam,Owned,In Progress,0,4.2,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 486150,486150
Reset 1-1,Unknown,Steam,Owned,In Progress,0,3.1,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 491650,491650
So Many Cubes,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 513590,513590
Atonement 2: Ruptured by Despair,Unknown,Steam,Owned,In Progress,0,3.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 533820,533820
Guild Quest,Unknown,Steam,Owned,In Progress,0,40.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 547680,547680
Desolate Wastes: Vendor Chronicles,Unknown,Steam,Owned,In Progress,0,3.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 563120,563120
Tom Clancy's Ghost Recon Wildlands Open Beta,Unknown,Steam,Owned,In Progress,0,6.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 584210,584210
Total War: WARHAMMER II,Unknown,Steam,Owned,In Progress,0,35.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 594570,594570
For Honor - Public Test,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 654310,654310
Real Pool 3D - Poolians,Unknown,Steam,Owned,In Progress,0,0.4,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 670290,670290
Rust - Staging Branch,Unknown,Steam,Owned,In Progress,0,0.6,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 700580,700580
Aimlabs,Unknown,Steam,Owned,In Progress,0,30.7,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 714010,714010
Bloons TD 6,Unknown,Steam,Owned,In Progress,0,15.5,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 960090,960090
Hogwarts Legacy,Unknown,Steam,Owned,In Progress,0,1.1,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 990080,990080
New World: Aeternum,Unknown,Steam,Owned,In Progress,0,794.5,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 1063730,1063730
Destiny 2,Unknown,Steam,Owned,In Progress,0,514.5,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 1085660,1085660
Total War: WARHAMMER III,Unknown,Steam,Owned,In Progress,0,48.9,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 1142710,1142710
Apex Legends,Unknown,Steam,Owned,In Progress,0,411.5,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 1172470,1172470
Need for Speed™ Heat,Unknown,Steam,Owned,In Progress,0,5.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 1222680,1222680
Need for Speed™ Hot Pursuit Remastered,Unknown,Steam,Owned,In Progress,0,1.2,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 1328660,1328660
IdleOn,Unknown,Steam,Owned,In Progress,0,0.7,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 1476970,1476970
Palworld,Unknown,Steam,Owned,In Progress,0,262.5,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 1623730,1623730
New World: Aeternum Open Beta,Unknown,Steam,Owned,In Progress,0,12.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 1724660,1724660
Tap Ninja,Unknown,Steam,Owned,In Progress,0,2.4,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 1891700,1891700
Terminal Velocity™: Boosted Edition,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 1956430,1956430
Call of Duty®: Modern Warfare®,Unknown,Steam,Owned,In Progress,0,10.1,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 2000950,2000950
God of War Ragnarök,Unknown,Steam,Owned,In Progress,0,92.3,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 2322010,2322010
Ashes of Creation PTR,Unknown,Steam,Owned,In Progress,0,7.5,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 4209030,4209030
